D,final_L,mean_L_tail,std_L_tail,mean_v_tail,std_v_tail,mean_Omega_tail,std_Omega_tail,oscillation_amplitude_v,oscillation_amplitude_Omega,instability_indicator
0.07500000000000001,1.0,0.9999999999999135,2.1373714928885982e-13,0.3940449989107145,1.2093642516823178e-07,0.9851124891885233,9.349827555050803e-08,4.3937729699017325e-07,2.8237624394300553e-07,2.144347007187398e-07
0.0875,1.0,0.9999999999998915,2.675051883708834e-13,0.3930612422323335,2.1428211604156357e-07,0.9826531067772407,1.7321193449576142e-07,8.694139816967095e-07,6.90403181513588e-07,3.87494050537325e-07
0.1,1.0,0.9999999999998636,3.3595650637280857e-13,0.3920799892130992,1.4969365919781517e-07,0.9801999768677432,1.2965257904914529e-07,4.7020368060257667e-07,3.9099982918067155e-07,2.7934623824696043e-07
0.11250000000000002,1.0,0.9999999999998277,4.233294743402568e-13,0.39110123380927325,1.2379407646623215e-07,0.9777530907984031,1.061540809623917e-07,4.0326914729771346e-07,3.365890601791932e-07,2.2994815742862385e-07
0.125,1.0,0.9999999999997821,5.35126172919645e-13,0.39012497373006794,1.9181389937036474e-07,0.9753124490567976,1.4043535890667444e-07,8.853505901740277e-07,7.12721543671968e-07,3.322492582770392e-07
0.1375,1.0,0.999999999999723,6.785577815160603e-13,0.3891512156689999,2.1927858198344213e-07,0.972878053529542,1.6879456075025807e-07,8.759014982206992e-07,7.132870107895428e-07,3.8807314273370017e-07
0.15,1.0,0.9999999999996474,8.629881137526511e-13,0.38817995572919717,1.5344840302876205e-07,0.9704499007906312,1.1298288590781416e-07,7.748264762574841e-07,6.22359821234042e-07,2.664312889365762e-07
0.1625,1.0,0.9999999999995497,1.1006795678217837e-12,0.38721119555027284,1.1179658815717703e-07,0.9680279886044982,8.674482838235659e-08,4.49096090648915e-07,3.4809692328607866e-07,1.985414165395336e-07
0.17500000000000002,1.0,0.999999999999423,1.4076528586172132e-12,0.38624492448958325,1.6482441761784963e-07,0.9656123136926453,1.3149993535953214e-07,7.267577235015032e-07,5.983352437954892e-07,2.9632435297738174e-07
0.1875,1.0,0.9999999999992595,1.8048943301685998e-12,0.38528115250982964,1.2203407074877745e-07,0.9632028789248456,9.424717737288237e-08,5.557556715940493e-07,4.4491892203790684e-07,2.1628124812165982e-07
0.2,1.0,0.9999999999990467,2.3199207466364798e-12,0.38431987343481366,1.1386292284801205e-07,0.9607996808715474,9.017880894191622e-08,5.46000313295103e-07,4.267352768927424e-07,2.0404173178992826e-07
0.25,1.0,0.9999999999973244,6.4722021227405814e-12,0.3804996868872276,1.2091710522668405e-07,0.9512492154038853,1.0410386947729113e-07,5.412755103018085e-07,4.6110456308756653e-07,2.250209747039752e-07
0.3,0.9999999999999998,0.9999999999922741,1.8580581669564537e-11,0.37671935209045954,9.318712964155568e-08,0.941798381786671,7.532561705559465e-08,4.2339830697013525e-07,3.231929108782339e-07,1.6851274669715033e-07
0.35,0.9999999999999996,0.999999999977224,5.445457824731179e-11,0.37297879886096263,8.859914307671874e-08,0.9324470070642339,7.245793910650591e-08,4.1107662296369085e-07,3.8070525354427787e-07,1.6105708218322465e-07
0.4,0.9999999999999984,0.9999999999319353,1.6178178870432297e-10,0.3692779599025542,7.029657951697533e-08,0.9231948989058611,5.4493365274321736e-08,2.8604116486530273e-07,2.3068199728193406e-07,1.2478994479129707e-07
0.45,0.9999999999999949,0.999999999795017,4.843714877932929e-10,0.36561673336360906,5.368716712968696e-08,0.914041830876077,4.037074719582804e-08,2.092064118053294e-07,1.6623306164920137e-07,9.4057914325515e-08
0.5,0.9999999999999822,0.9999999993808858,1.4543884640207812e-09,0.3619950278041944,8.530730853204842e-08,0.9049875660296764,6.549517236052797e-08,4.604920423867398e-07,3.2345074629791526e-07,1.508024808925764e-07
0.55,0.9999999999999398,0.9999999981319599,4.362574489587433e-09,0.35841272364676197,5.210397632440639e-08,0.8960318077571213,4.396150409890112e-08,2.6438929079386497e-07,2.2672420352254363e-07,9.606548042330752e-08
0.6000000000000001,0.9999999999997962,0.999999994386786,1.303207146971495e-08,0.3548697071147609,4.24338715678913e-08,0.8871742635838941,3.7195429389739365e-08,2.0176112025538373e-07,1.8228612208570638e-07,7.962930095763066e-08
0.65,0.999999999999317,0.9999999832440172,3.867366145018605e-08,0.3513658452538659,4.996298975020932e-08,0.8784145942709295,3.1679051520537065e-08,2.965796293552536e-07,1.755145626614052e-07,8.164204127074638e-08
0.7,0.9999999999977325,0.9999999504087959,1.1378685421138694e-07,0.34790099627710375,6.49389446770595e-08,0.8697524318861848,4.6334722662618544e-08,3.869010712920229e-07,2.2880031513849985e-07,1.1127366733967804e-07
0.75,0.9999999999925586,0.9999998547100657,3.3140857679609196e-07,0.34447501700622923,1.2813583115004244e-07,0.8611873901251569,9.922639872753409e-08,7.615370643532238e-07,6.627395727765162e-07,2.273622298775765e-07
0.8,0.9999999999758902,0.9999995791542252,9.543130741934027e-07,0.3410877773940545,3.228273612274719e-07,0.8527190083275404,2.415097461413848e-07,1.9611796922558433e-06,1.435341156375003e-06,5.643371073688567e-07
