t,L,v,Omega,E_v,E_Omega,P_drive,P_feedback,P_D,P_Omega,cumulative_drive,cumulative_feedback,cumulative_dissipation
1.0425354462051708,0.01827714524973041,0.02872480409505574,0.00022614318072388778,0.00041255718514966554,2.5570369093958485e-08,0.0010500148334307694,2.6849266844956112e-11,0.0004538129036646321,4.091259055033358e-08,0.0005925973817014456,5.488745962571912e-12,0.00018009217101128895
1.0633861551292743,0.018287975773424368,0.029155326417031273,0.00023334322517613987,0.0004250165292418208,2.7224530367801356e-08,0.0010663838063618947,2.9031798320031005e-11,0.0004675181821660029,4.3559248588482175e-08,0.0006146615877042882,6.071325874633914e-12,0.0001896982548068454
1.0842368640533777,0.018298973017556123,0.02958139226327444,0.00024059270694832977,0.0004375293841168564,2.8942425318362444e-08,0.0010826181976948048,3.1333596335082037e-11,0.0004812823225285421,4.6307880509379914e-08,0.0006370656953362388,6.70065651115511e-12,0.00019959077327873494
1.1050875729774812,0.01831013560972632,0.03000305935005732,0.00024788942543989365,0.0004500917851815309,3.0724583622460295e-08,0.0010987201708124335,3.375771976581047e-11,0.000495100963699684,4.915933379593647e-08,0.0006598069210296004,7.379256553908369e-12,0.00020977091040803574
1.1259382819015846,0.018321462199417084,0.03042038468131708,0.0002552312382092393,0.00046269990207965545,3.2571492478910727e-08,0.0011146918560609549,3.630717740599243e-11,0.000508969892287621,5.211438796625716e-08,0.0006828825259803239,8.10970794227162e-12,0.00022023976080116616
1.146788990825688,0.018332951457923546,0.030833424548655956,0.00026261606097374593,0.00047535003469882984,3.448359774068312e-08,0.0011305353510641157,3.898492627771693e-11,0.0005228850381687128,5.517375638509299e-08,0.0007062898154624451,8.894654811367841e-12,0.00023099833272152362
1.1676396997497913,0.018344602077654357,0.0312422345529161,0.00027004186481073165,0.0004880386099297123,3.6461304375228736e-08,0.0011462527217799788,4.179386937975419e-11,0.0005368424709226836,5.833808700036598e-08,0.0007300261381568162,9.736802389114614e-12,0.00024204755103819138
1.1884904086738948,0.01835641277273465,0.031646869581811767,0.00027750667960072233,0.0005007621771641014,3.850497861150898e-08,0.0011618460020172744,4.473685545754236e-11,0.0005508383948805115,6.160796577841437e-08,0.0007540888854858118,1.0638915867401693e-11,0.00025338826008589754
1.2093411175979982,0.0183683822791596,0.03204738380267635,0.00028500859435681865,0.0005135174042980212,4.06149494286248e-08,0.0011773171934690134,4.7816678274194454e-11,0.0005648691447278233,6.498391908579968e-08,0.000778475490943342,1.160381926327051e-11,0.0002650212264275698
1.2301918265221017,0.018380509352410725,0.03244383074130554,0.0002925457463209363,0.0005263010765852411,4.279150684523681e-08,0.001192668268737194,5.103607238576438e-11,0.0005789311842437653,6.84664109523789e-08,0.0008031834294567513,1.26343942284494e-11,0.0002769471415579037
1.2510425354462051,0.01839279276735962,0.03283626328331225,0.0003001163207810561,0.0005391100932055002,4.503490299957888e-08,0.0012079011716488435,5.439771209828335e-11,0.0005930211025260503,7.205584479932621e-08,0.0008282102167835449,1.3733578803971167e-11,0.0002891666245544171
1.2718932443703086,0.018405231318214966,0.03322473367412665,0.0003077185510712237,0.0005519414638583226,4.734535333668666e-08,0.0012230178175167744,5.7904210707395046e-11,0.000607135610244155,7.575256533869866e-08,0.000853553408914129,1.4904366155990335e-11,0.00030168022465012546
1.2927439532944118,0.018417823818472904,0.0336092935189961,0.00031535071857155,0.0005647923054230167,4.972303785179647e-08,0.0012380200933924269,6.155811996503624e-11,0.0006212715359653184,7.955686056287435e-08,0.0008792106014799044,1.6149803298113253e-11,0.0003144884237288928
