D,B,final_L,std_v_tail,std_Omega_tail,regime_label
0.76,0.375,0.9986474271681879,0.13361572018491596,0.48482795548689256,limit_cycle_like
0.78,0.375,0.9975407064562243,0.15210154578117605,0.5048125007137975,limit_cycle_like
0.8,0.375,0.9955579388966831,0.16900546810832923,0.5103798359398698,limit_cycle_like
0.0,0.44999999999999996,0.9999999999994347,0.0010964420121578574,0.0010786902447515638,near_complete_closure
0.02,0.44999999999999996,0.999999999999079,0.0009791831901007568,0.000770460987902281,near_complete_closure
0.04,0.44999999999999996,0.9999999999984808,0.000802467710479821,0.0005862627673763059,near_complete_closure
0.06,0.44999999999999996,0.9999999999974634,0.0005781455718004018,0.0005532518686389048,near_complete_closure
0.08,0.44999999999999996,0.9999999999957156,0.0004726386602330127,0.0004944076582876574,near_complete_closure
0.1,0.44999999999999996,0.9999999999926841,0.0004765422187941521,0.00036849959709222803,near_complete_closure
0.12,0.44999999999999996,0.9999999999873792,0.00041556891507328256,0.00031039597851208173,near_complete_closure
0.14,0.44999999999999996,0.9999999999780187,0.00030963986681541947,0.0003349188312907264,near_complete_closure
0.16,0.44999999999999996,0.9999999999613776,0.00031306861124988725,0.0002955366772791525,near_complete_closure
0.18,0.44999999999999996,0.9999999999315896,0.0003353091472523414,0.00022991411477728287,near_complete_closure
0.2,0.44999999999999996,0.9999999998779445,0.0002687555114059291,0.00026653653770271514,near_complete_closure
0.22,0.44999999999999996,0.999999999780822,0.00025839632178493484,0.0002756021607992777,near_complete_closure
0.24,0.44999999999999996,0.9999999996041906,0.0003204303150311183,0.00021833153182036557,near_complete_closure
0.26,0.44999999999999996,0.999999999281759,0.00027987381148377675,0.0002689684810562948,near_complete_closure
0.28,0.44999999999999996,0.9999999986914145,0.00027628435341064614,0.00030727615573983654,near_complete_closure
0.3,0.44999999999999996,0.9999999976080567,0.0003812113794378983,0.00025342455461320744,near_complete_closure
0.32,0.44999999999999996,0.9999999956166767,0.00034726855334698306,0.0003518161709038183,near_complete_closure
0.34,0.44999999999999996,0.9999999919524377,0.0003825818620088367,0.0004145602037093256,near_complete_closure
0.36,0.44999999999999996,0.9999999852070869,0.0005586226865372285,0.00036461103443761604,near_complete_closure
0.38,0.44999999999999996,0.9999999727912773,0.0005037230728628498,0.0005885911990993956,near_complete_closure
0.4,0.44999999999999996,0.999999949952273,0.0007036680266816967,0.0006625551075617621,near_complete_closure
0.42,0.44999999999999996,0.9999999079842092,0.0010389254691419755,0.0006885248538991398,near_complete_closure
0.44,0.44999999999999996,0.9999998309774959,0.0009461350910298094,0.0012379158667453372,near_complete_closure
0.46,0.44999999999999996,0.9999996899372463,0.0015673849926733264,0.0012845674038418767,near_complete_closure
0.48,0.44999999999999996,0.9999994321851171,0.002046636980771206,0.0017430737394889277,near_complete_closure
0.5,0.44999999999999996,0.9999989623365446,0.0022272788365109005,0.0029426132519858586,near_complete_closure
0.52,0.44999999999999996,0.999998108273506,0.004980685673656645,0.0028391278141717013,near_complete_closure
0.54,0.44999999999999996,0.9999965604927737,0.006161294506222076,0.006046736321981607,near_complete_closure
0.56,0.44999999999999996,0.9999937645074517,0.007193829383306204,0.009423006415296947,near_complete_closure
0.58,0.44999999999999996,0.9999887311421622,0.013618158538915313,0.009700046547526833,near_complete_closure
0.6,0.44999999999999996,0.9999797040417859,0.014211030413531311,0.020524050553598388,near_complete_closure
0.62,0.44999999999999996,0.9999635786642753,0.03635010438623598,0.025776508782945694,near_complete_closure
0.64,0.44999999999999996,0.9999348871308181,0.07667577620306912,0.04230981820873353,limit_cycle_like
0.66,0.44999999999999996,0.9998840299478207,0.09980255894517376,0.11683992564023145,limit_cycle_like
0.68,0.44999999999999996,0.9997942362963452,0.10162784264564141,0.20879938451105456,limit_cycle_like
0.7000000000000001,0.44999999999999996,0.9996364429281538,0.09729962814722819,0.29289882210506396,limit_cycle_like
0.72,0.44999999999999996,0.9993607039693136,0.09901974586805078,0.3608533892929726,limit_cycle_like
0.74,0.44999999999999996,0.9988812480240339,0.10920319031617318,0.4118161410207246,limit_cycle_like
0.76,0.44999999999999996,0.9980492689139852,0.1244696776836699,0.4469414838796225,limit_cycle_like
0.78,0.44999999999999996,0.9966055456746992,0.14115785144625562,0.467575030293969,limit_cycle_like
0.8,0.44999999999999996,0.9941139260260953,0.15701615455370546,0.4747769110935218,limit_cycle_like
0.0,0.525,0.9999999999956142,0.00115235915046447,0.0008870244707012797,near_complete_closure
0.02,0.525,0.9999999999931974,0.0008154956980354248,0.0007910515132661896,near_complete_closure
0.04,0.525,0.9999999999893188,0.0006917210753985326,0.0006375450221317172,near_complete_closure
0.06,0.525,0.999999999983032,0.0006434617254904593,0.0004576820427507443,near_complete_closure
0.08,0.525,0.9999999999727422,0.0005127180541967827,0.0003944011003062815,near_complete_closure
0.1,0.525,0.9999999999557443,0.0003798114604832264,0.0003926241126570175,near_complete_closure
0.12,0.525,0.9999999999274212,0.0003763041776757436,0.0003214819836283332,near_complete_closure
0.14,0.525,0.9999999998798454,0.00036842830793951885,0.0002493696722769177,near_complete_closure
0.16,0.525,0.999999999799341,0.00028282095056954797,0.0002733469961702845,near_complete_closure
0.18,0.525,0.9999999996622062,0.00026894317427786715,0.00026248757587220403,near_complete_closure
0.2,0.525,0.9999999994272075,0.00030717105403613144,0.00020393125505951753,near_complete_closure
0.22,0.525,0.999999999022376,0.0002553659620534019,0.00023791778899527117,near_complete_closure
0.24,0.525,0.9999999983217702,0.0002478818239282757,0.00025312307794955226,near_complete_closure
0.26,0.525,0.9999999971045728,0.0003137231713636215,0.00020456025907136723,near_complete_closure
0.28,0.525,0.999999994983098,0.0002702495830008993,0.00026781776125673316,near_complete_closure
0.3,0.525,0.9999999912761356,0.000298967655308868,0.0002917523444382302,near_complete_closure
0.32,0.525,0.9999999847862355,0.00040000505363065004,0.0002553954797295867,near_complete_closure
0.34,0.525,0.999999973408509,0.000345103949205039,0.00038658154065174797,near_complete_closure
0.36,0.525,0.9999999534446393,0.0004670879751044768,0.0003968535972386051,near_complete_closure
0.38,0.525,0.9999999184026267,0.0005900713817210075,0.0004270996185120672,near_complete_closure
0.4,0.525,0.9999998569016757,0.0005415635889874626,0.0006739559569645794,near_complete_closure
0.42,0.525,0.9999997490230496,0.0009712415488006868,0.0006237932497113667,near_complete_closure
0.44,0.525,0.9999995599681524,0.0011109248609331805,0.0009833865655792823,near_complete_closure
0.46,0.525,0.9999992290669276,0.0012317730346969073,0.0014013125755087028,near_complete_closure
0.48,0.525,0.9999986507963388,0.0020568605866979825,0.0013687997875137272,near_complete_closure
