epoch	V	E	b1H	b1S	label	d_cal	npts	n_alive_cyc	ov_lcc	ov_meandeg	ov_density	degenerate
925	521	939	419	247	METR	2.6163540651009694	5	228	0.03508771929824561	1.4035087719298245	0.006182858026122575	0
950	464	830	367	222	METR	3.123621580037467	5	201	0.03980099502487562	1.3432835820895523	0.006716417910447761	0
975	417	731	315	178	METR	3.0697218328599156	5	157	0.050955414012738856	1.2356687898089171	0.007920953780826393	0
1000	364	627	264	152	METR	2.8551998890852275	5	132	0.06060606060606061	1.1818181818181819	0.009021512838306732	0
1025	364	625	262	160	METR	2.6470536910519478	5	158	0.056962025316455694	1.7215189873417722	0.010965089091348867	0
1050	354	619	266	174	METR	2.5235888487065066	5	191	0.05759162303664921	1.9162303664921465	0.010085422981537613	0
1075	309	547	239	152	METR	2.9528274410965034	4	167	0.059880239520958084	1.8323353293413174	0.01103816463458625	0
1100	309	550	242	166	METR	3.0628922843545325	4	173	0.06936416184971098	1.6647398843930636	0.009678720258099207	0
1125	323	578	256	179	METR	2.7018614150033198	5	189	0.07407407407407407	1.9047619047619047	0.010131712259371834	0
1150	322	574	254	176	METR	2.9319295175371876	4	185	0.07567567567567568	1.8918918918918919	0.010282021151586369	0
1175	286	509	224	151	SW	nan	3	149	0.09395973154362416	1.7986577181208054	0.012153092690005442	0
1200	280	503	224	152	METR	3.2595692406760426	4	154	0.09090909090909091	1.7662337662337662	0.011544011544011544	0
1225	328	600	273	198	METR	2.8412567353549685	5	209	0.11004784688995216	2.0191387559808613	0.009707397865292603	0
1250	315	575	261	194	METR	3.1852742358041883	5	198	0.11616161616161616	1.9090909090909092	0.009690816797415782	0
1275	304	554	251	185	METR	3.1454329217780463	5	186	0.05913978494623656	1.8279569892473118	0.00988084859052601	0
1300	294	532	239	181	METR	2.494662041251999	5	180	0.05	1.7333333333333334	0.00968342644320298	0
1325	299	542	244	173	METR	2.3774783441992486	5	167	0.05389221556886228	1.532934131736527	0.009234542962268234	0
1350	287	518	232	162	METR	2.8381380545067296	5	149	0.053691275167785234	1.395973154362416	0.009432251042989299	0
1375	257	457	201	116	METR	2.6620605417108214	5	101	0.07920792079207921	1.1485148514851484	0.011485148514851485	0
1400	273	490	218	137	METR	2.3110127491802386	6	126	0.047619047619047616	1.3333333333333333	0.010666666666666666	0
1425	241	434	195	131	METR	2.7990149632143444	5	117	0.05128205128205128	1.3162393162393162	0.011346890657235485	0
1450	247	449	203	142	METR	2.797555195237371	5	129	0.06976744186046512	1.3333333333333333	0.010416666666666666	0
1475	253	464	212	147	METR	3.056726033052703	4	135	0.06666666666666667	1.2740740740740741	0.009508015478164732	0
1500	254	464	211	149	METR	2.5128529170276828	5	135	0.08148148148148149	1.3185185185185184	0.009839690436705363	0
